Mot;Pageviews;Difficulte_V1;Difficulte_V2;Delta_Difficulte;Abstraction_V1;Abstraction_V2;Delta_Abstraction
séquestration;281;0.281;0.281;0.000;0.900;0.900;0.000
sérénité;3934;0.030;0.030;0.000;0.900;0.785;-0.115
torpeur;2862;0.020;0.020;0.000;0.750;0.820;0.070
varicose;42;1.000;1.000;0.000;0.750;0.750;0.000
venimeux;853;0.030;0.030;0.000;0.750;0.750;0.000
volupté;2455;0.020;0.020;0.000;0.900;0.782;-0.118
équanimité;3514;0.518;0.402;-0.116;0.900;0.900;0.000
ancestral;864;0.051;0.051;0.000;0.850;0.850;0.000
antédiluvien;3609;0.397;0.258;-0.139;0.850;0.850;0.000
apogée;3030;0.036;0.010;-0.026;0.850;0.808;-0.042
caduc;4538;0.205;0.143;-0.062;0.850;0.850;0.000
caducité;364;0.723;0.723;0.000;1.000;1.000;0.000
célérité;2734;0.199;0.059;-0.140;0.750;0.750;0.000
déliquescence;1841;0.562;0.550;-0.012;1.000;1.000;0.000
désuet;3316;0.053;0.010;-0.043;0.500;0.500;0.000
fugace;2224;0.010;0.010;0.000;0.750;0.750;0.000
hécatombe;2169;0.132;0.100;-0.032;0.850;0.850;0.000
imminent;1492;0.030;0.030;0.000;0.850;0.850;0.000
immuable;2591;0.030;0.030;0.000;0.850;0.850;0.000
immémorial;1015;0.061;0.060;-0.001;0.850;0.850;0.000
inexorable;2138;0.050;0.050;0.000;0.850;0.850;0.000
intemporel;1869;0.273;0.214;-0.059;0.900;0.900;0.000
jadis;3444;0.000;0.000;0.000;0.850;0.850;0.000
millénaire;935;0.050;0.050;0.000;0.900;0.900;0.000
obsolescence;1101;0.757;0.584;-0.173;1.000;1.000;0.000
obsolète;3281;0.209;0.080;-0.129;0.850;0.850;0.000
précurseur;4958;0.077;0.050;-0.027;0.850;0.850;0.000
prémices;2852;0.111;0.030;-0.081;0.200;0.200;0.000
périssable;437;0.050;0.050;0.000;0.850;0.850;0.000
réminiscence;3519;0.130;0.070;-0.060;0.900;0.900;0.000
sénescence;851;0.599;0.599;0.000;0.200;0.200;0.000
transitoire;599;0.201;0.201;0.000;0.850;0.850;0.000
trépas;1498;0.062;0.046;-0.016;0.850;0.850;0.000
vicissitude;3218;0.533;0.461;-0.072;1.000;1.000;0.000
éphémère;3839;0.030;0.030;0.000;0.750;0.750;0.000
évanescent;2002;0.273;0.244;-0.029;0.750;0.750;0.000
